date_registered,username,name,gender,address,email,birthdate,residence,employer,job,credit_card_provider,credit_card_number,credit_card_security_code,credit_card_expire,salary_binned,age_binned
2020-10-25,r****n,Kenneth Kramer,M,"7017 Ware Island, Martinstad, AS 58136",m****@hotmail.com,1978-02-06,Lake Kelly,Employer 1,Job 1,ae568399e6,**** **** **** 9846,****,ab867e0e1a,Low,42-53
2020-06-21,e****a,William Kidd,F,"2269 Monica Circle, Lake Amanda, MT 71346",a****@hotmail.com,1970-07-21,Riddleberg,Employer 2,Job 2,d4a33d5b78,**** **** **** 5979,****,9366ba266b,Medium,42-53
2020-06-18,t****n,Ashley Parks,M,"208 Abigail Club, South Tonyview, IL 90526",v****@gmail.com,2008-07-28,Greenchester,Employer 3,Job 3,7e56c08964,**** **** **** 2247,****,fb98978031,Very High,42-53
2021-06-21,r****l,Brett Case,F,"8281 Adams Cliffs, North John, HI 08946",k****@gmail.com,1992-01-04,Lake Meganton,Employer 4,Job 4,7e56c08964,**** **** **** 7844,****,0ffa10c2f2,Medium,30-41
2020-07-23,t****n,Bradley Jensen,F,"0718 Amanda Hollow, Port Jameston, PA 77188",j****@hotmail.com,1989-01-13,Batesfurt,Employer 5,Job 5,1f49ba014f,**** **** **** 8217,****,0b350e054b,Medium,54-65
2021-07-19,b****s,Eric Allen,M,"64862 Kathleen Inlet Apt. 711, Danachester, OH 74817",c****@hotmail.com,1935-08-04,North Dawnfurt,Employer 6,Job 6,e2c2581816,**** **** **** 8101,****,046077ed00,Low,42-53
2020-06-13,l****e,Terri Barrera,F,"784 Wood Knolls Apt. 237, Katherineburgh, VT 37845",i****@gmail.com,1980-10-07,Johnstonton,Employer 7,Job 7,1f49ba014f,**** **** **** 9994,****,b74fbdd7e8,High,54-65
2020-11-13,k****h,Megan James,F,"9534 Rogers Squares Suite 065, Brownbury, DC 84520",r****@yahoo.com,1923-07-23,Fosterville,Employer 8,Job 8,7d74a143b9,**** **** **** 8906,****,56ca717b3d,Low,42-53
2021-04-24,s****9,Lauren Hurley,F,"400 Roger Pass, Harrisport, AR 41213",m****@gmail.com,2001-04-09,South Stevenhaven,Employer 9,Job 9,ae568399e6,**** **** **** 3176,****,2694599246,High,54-65
2019-04-18,s****h,Leah Ferguson,F,"PSC 2488, Box 9034, APO AE 68793",m****@gmail.com,1931-06-13,Loganfort,Employer 10,Job 10,ae568399e6,**** **** **** 1637,****,2c06f812c0,Medium,18-29
2021-04-07,h****e,Dillon Davis,M,"19873 Emily Tunnel Suite 512, Benjaminchester, VT 24890",w****@hotmail.com,1908-09-05,Lake Jenniferfort,Employer 11,Job 11,f3dce27624,**** **** **** 3011,****,d57d19a6fb,Low,42-53
2021-03-02,n****6,Tabitha Smith,F,"18640 Rose Parkways Suite 052, Melissashire, NV 22889",m****@gmail.com,1960-02-10,West Michael,Employer 12,Job 12,d4a33d5b78,**** **** **** 0128,****,d59d00b8be,High,30-41
2019-12-10,r****y,William Johnson,M,"8633 Miller Crossing Suite 467, East Larrybury, ND 56392",v****@gmail.com,1997-04-27,Catherinemouth,Employer 13,Job 13,7d74a143b9,**** **** **** 4921,****,abf3519f12,Low,54-65
2020-03-17,s****5,Richard Hutchinson,M,"820 Elizabeth Camp Apt. 107, New Robert, CT 89177",j****@yahoo.com,1999-06-08,Sarahview,Employer 14,Job 14,ae568399e6,**** **** **** 7221,****,90cd939d3b,Medium,18-29
2022-06-02,t****o,Shawn Miller,M,"327 Smith Shore Apt. 600, Port Johnmouth, MT 59880",s****@gmail.com,1927-09-05,Port Zachary,Employer 15,Job 15,e2c2581816,**** **** **** 1342,****,abf3519f12,Medium,54-65
2022-03-24,w****s,Kim Paul,F,"1164 Cheryl Squares Apt. 552, Lake Patrick, UT 20951",z****@gmail.com,1929-12-03,Watersburgh,Employer 16,Job 16,fb3997cb57,**** **** **** 9325,****,57f26fdeff,Medium,18-29
2019-12-01,h****y,Sue Arroyo,F,"02285 Rice Corner, Kennethport, PA 12208",l****@hotmail.com,1993-06-17,Thomaschester,Employer 17,Job 17,1f49ba014f,**** **** **** 6050,****,cf36f06324,Low,42-53
2022-03-10,a****n,David Watson,F,"76285 Howell Union, East Ryanport, AS 70465",c****@gmail.com,2013-07-26,Eugeneside,Employer 18,Job 18,ae568399e6,**** **** **** 0980,****,abf3519f12,Low,42-53
2019-07-10,f****r,Michael Jefferson,M,"5548 Moore Plains, Davidfurt, RI 64686",b****@yahoo.com,1950-12-11,Donaldbury,Employer 19,Job 19,d4a33d5b78,**** **** **** 2073,****,938248d17a,Very High,30-41
2020-10-05,d****4,Paul Stevenson MD,M,"4421 Morris Extension Suite 991, Stevenston, MI 25080",r****@hotmail.com,2014-11-07,West Moniquechester,Employer 20,Job 20,1f49ba014f,**** **** **** 7776,****,fbeca3667d,High,30-41
2021-04-05,b****l,Austin Tran,M,"5990 Cynthia Greens, East Micheleburgh, LA 31551",j****@gmail.com,1962-04-22,North Taylorville,Employer 21,Job 21,ad0f3f4288,**** **** **** 5477,****,f951f93da7,Medium,42-53
